player_name,position,team,adp,implied_pick,model_fp,market_fp,steal_label,steal_score
Terry McLaurin,WR,WAS,46.6,45.3,197.2,181.7,fair,1.0
Rome Odunze,WR,CHI,48.9,48.9,188.6,179.2,fair,0.0
DJ Moore,WR,BUF,49.8,58.7,181.0,178.3,fair,-2.0
Drake Maye,QB,NE,50.5,50.5,304.3,280.7,fair,0.0
Quinshon Judkins,RB,CLE,51.9,46.3,193.0,153.2,fair,1.0
Mike Evans,WR,SF,52.1,59.0,178.2,176.0,fair,-2.0
Bhayshul Tuten,RB,JAX,54.3,74.9,164.8,151.2,fair,-6.0
Joe Burrow,QB,CIN,56.0,56.0,297.3,274.4,fair,0.0
Colston Loveland,TE,CHI,56.6,64.2,189.3,159.7,fair,-1.0
Lamar Jackson,QB,BAL,56.8,56.8,296.8,273.5,fair,0.0
David Montgomery,RB,HOU,57.6,45.9,202.4,148.5,fair,4.0
Christian Watson,WR,GB,58.7,98.8,159.8,169.9,fair,-18.0
Alec Pierce,WR,IND,59.0,101.0,158.4,169.7,fair,-19.0
Luther Burden III,WR,CHI,59.4,66.0,170.7,169.3,fair,-4.0
TreVeyon Henderson,RB,NE,61.0,61.0,182.8,145.8,fair,0.0
Courtland Sutton,WR,DEN,61.1,73.5,168.3,167.9,fair,-5.0
Jaylen Warren,RB,PIT,61.9,82.9,153.0,145.2,fair,-5.0
Tyler Warren,TE,IND,64.2,56.6,192.6,154.3,fair,1.0
DK Metcalf,WR,PIT,64.5,64.6,171.3,165.1,fair,-1.0
Parker Washington,WR,JAX,64.6,61.1,172.1,165.1,fair,2.0
Dak Prescott,QB,DAL,65.8,89.0,269.5,264.5,fair,-5.0
Marvin Harrison Jr.,WR,AZ,66.0,71.5,168.7,164.0,fair,-1.0
Tony Pollard,RB,TEN,67.1,67.1,171.2,141.5,fair,0.0
Rhamondre Stevenson,RB,NE,70.9,76.6,155.9,138.9,fair,-2.0
Brian Thomas Jr.,WR,JAX,71.5,80.8,165.1,159.9,fair,-4.0
Jayden Daniels,QB,WAS,72.9,117.5,254.5,258.2,fair,-10.0
Carnell Tate,WR,TEN,73.5,85.6,164.5,158.5,fair,-5.0
Michael Pittman,WR,PIT,74.4,49.8,183.4,157.9,steal,11.0
Chuba Hubbard,RB,CAR,74.9,100.1,147.8,136.4,fair,-5.0
Rico Dowdle,RB,PIT,76.6,61.9,174.1,135.4,fair,4.0
Kyle Pitts,TE,ATL,76.8,76.8,184.0,146.5,fair,0.0
Michael Wilson,WR,AZ,77.0,92.2,161.6,156.1,fair,-5.0
Matthew Stafford,QB,LA,77.9,106.6,262.6,254.1,fair,-7.0
Harold Fannin Jr.,TE,CLE,78.2,102.9,168.7,145.7,fair,-2.0
Jalen Hurts,QB,PHI,80.7,65.8,296.0,251.9,fair,3.0
Chris Godwin Jr.,WR,TB,80.8,92.7,161.1,153.7,fair,-5.0
Josh Downs,WR,IND,81.9,74.4,167.8,153.0,fair,3.0
Jadarian Price,RB,SEA,82.9,97.8,148.6,131.8,fair,-2.0
RJ Harvey,RB,DEN,83.6,83.6,150.3,131.4,fair,0.0
Wan'Dale Robinson,WR,TEN,85.6,59.4,177.7,150.7,steal,11.0
Sam LaPorta,TE,DET,87.4,142.7,155.0,140.9,fair,-9.0
Caleb Williams,QB,CHI,88.1,72.9,288.9,246.5,fair,3.0
Jakobi Meyers,WR,JAX,88.2,77.0,166.6,149.2,fair,4.0
Brock Purdy,QB,SF,89.0,88.1,273.6,245.9,fair,1.0
Quentin Johnston,WR,LAC,92.2,100.0,158.4,147.0,fair,-4.0
Jayden Reed,WR,GB,92.7,52.1,181.4,146.7,steal,17.0
Trevor Lawrence,QB,JAX,93.5,93.5,269.3,242.9,fair,0.0
Keon Coleman,WR,BUF,94.2,160.2,85.6,145.9,fade,-28.0
J.K. Dobbins,RB,DEN,97.8,114.0,135.6,124.2,fair,-4.0
Jordan Addison,WR,MIN,98.8,81.9,164.8,143.4,steal,6.0
Jordyn Tyson,WR,NO,100.0,150.0,98.2,142.8,fair,-19.0
Aaron Jones,RB,MIN,100.1,107.6,138.9,123.1,fair,-2.0
Patrick Mahomes,QB,KC,100.6,134.2,250.8,238.4,fair,-6.0
Khalil Shakir,WR,BUF,101.0,64.5,171.4,142.3,steal,16.0
Jared Goff,QB,DET,101.9,77.9,285.8,237.6,steal,6.0
Tucker Kraft,TE,GB,102.9,78.2,174.5,133.8,fair,2.0
Justin Herbert,QB,LAC,106.6,80.7,282.6,234.8,steal,6.0
Xavier Worthy,WR,KC,106.8,113.6,149.9,139.5,fair,-3.0
Rachaad White,RB,WAS,107.5,134.3,121.3,119.9,fair,-6.0
Jonathon Brooks,RB,CAR,107.6,107.5,147.5,119.8,fair,1.0
Travis Kelce,TE,KC,108.3,116.3,160.5,131.6,fair,-2.0
Matthew Golden,WR,GB,111.0,111.0,154.3,137.5,fair,0.0
Romeo Doubs,WR,NE,111.8,111.8,153.3,137.2,fair,0.0
Makai Lemon,WR,PHI,113.6,94.2,160.7,136.3,fair,7.0
Kyle Monangai,RB,CHI,114.0,70.9,166.0,117.2,steal,9.0
Bo Nix,QB,DEN,115.1,101.9,265.1,230.1,fair,2.0
Dallas Goedert,TE,PHI,115.2,158.6,142.0,128.9,fair,-9.0
George Kittle,TE,SF,116.3,87.4,168.8,128.5,fair,4.0
Jaxson Dart,QB,NYG,117.5,100.6,265.5,228.8,fair,4.0
Jacory Croskey-Merritt,RB,WAS,118.0,118.0,132.7,115.6,fair,0.0
Jalen Coker,WR,CAR,120.6,106.8,157.8,133.3,fair,4.0
Blake Corum,RB,LA,121.5,143.4,111.6,114.2,fair,-4.0
Jordan Mason,RB,MIN,122.6,121.5,127.5,113.8,fair,1.0
Jayden Higgins,WR,HOU,127.3,88.2,164.0,130.5,steal,12.0
Mark Andrews,TE,BAL,128.1,108.3,168.3,124.3,fair,3.0
Rashid Shaheed,WR,SEA,129.0,120.6,136.4,129.9,fair,2.0
Jerry Jeudy,WR,CLE,129.1,135.8,123.7,129.8,fair,-2.0
Baker Mayfield,QB,TB,129.7,135.3,248.7,222.7,fair,-2.0
